_unit_id,chemical_name,disease_name,form_sentence,Option_1,Option_2,Option_3,,,,
770955420,"<span class=""chemical"">naloxazone</span>","<span class=""disease"">hypothermia</span>","Pretreatment with <span class=""chemical"">naloxazone</span> significantly blocked morphine analgesia, catalepsy and <span class=""disease"">hypothermia</span> at a dose which completely eliminated high-affinity binding in brain membranes.",yes_direct,yes_indirect,no_relation,,,,
770955421,"<span class=""chemical"">benzoylecgonine</span>","<span class=""disease"">EDDs</span>","<span class=""disease"">EDDs</span> had concentrations of cocaine and <span class=""chemical"">benzoylecgonine</span> in autopsy blood that were similar to those for controls.",yes_direct,yes_indirect,no_relation,,,,
770955422,"<span class=""chemical"">Tiopronin</span>","<span class=""disease"">RA</span>","Compared to healthy controls a lower DR5 frequency was observed in patients with <span class=""disease"">RA</span> except for the <span class=""chemical"">Tiopronin</span> related nephritis group.",yes_direct,yes_indirect,no_relation,,,,
770955423,"<span class=""chemical"">lithium</span>","<span class=""disease"">tricuspid regurgitation</span>","A newborn with massive <span class=""disease"">tricuspid regurgitation</span>, atrial flutter, congestive heart failure, and a high serum <span class=""chemical"">lithium</span> level is described.",yes_direct,yes_indirect,no_relation,,,,
770955424,"<span class=""chemical"">azelastine</span>","<span class=""disease"">altered taste perception</span>","Drowsiness and <span class=""disease"">altered taste perception</span> were increased significantly over placebo only in the high-dose <span class=""chemical"">azelastine</span> group.",yes_direct,yes_indirect,no_relation,,,,
770955425,"<span class=""chemical"">propranolol</span>","<span class=""disease"">Raynaud's phenomenon</span>","Other adverse reactions significantly linked with active drugs include impaired glucose tolerance in men and women and gout in men, associated with bendrofluazide treatment, and <span class=""disease"">Raynaud's phenomenon</span> and dyspnoea in men and women taking <span class=""chemical"">propranolol</span>.",yes_direct,yes_indirect,no_relation,,,,
770955426,"<span class=""chemical"">adrenaline</span>","<span class=""disease"">bradycardia</span>","Intravenous pretreatment of the rats with diazepam, although causing no change in the <span class=""chemical"">adrenaline</span>-induced pressor effect, did enhance the <span class=""chemical"">adrenaline</span>-induced reflex <span class=""disease"">bradycardia</span>.",yes_direct,yes_indirect,no_relation,,,,
770955427,"<span class=""chemical"">alcohol</span>","<span class=""disease"">alcohol abuse</span>","The patient had a history of <span class=""disease"">alcohol abuse</span>; <span class=""chemical"">alcohol</span> intake as well as withdrawal can also cause seizures.",yes_direct,yes_indirect,no_relation,,,,
770955428,"<span class=""chemical"">venlafaxine</span>","<span class=""disease"">Serotonin syndrome</span>","<span class=""disease"">Serotonin syndrome</span> from <span class=""chemical"">venlafaxine</span>-tranylcypromine interaction.",yes_direct,yes_indirect,no_relation,,,,
770955429,"<span class=""chemical"">thiol</span>","<span class=""disease"">lung cancer</span>","The protective effect of oral administration of the <span class=""chemical"">thiol</span> compound sodium 2-mercaptoethane sulphonate (MESNA) against urothelial toxicity induced by ifosfamide (IF) was tested in a group of 45 patients with inoperable <span class=""disease"">lung cancer</span> under treatment with IF (2250 mg/m2 on days 2-5) as part of a polychemotherapy regimen repeated in a 4-week cycle.",yes_direct,yes_indirect,no_relation,,,,
770955430,"<span class=""chemical"">heparin</span>","<span class=""disease"">thromboembolism</span>","MEASUREMENTS: Platelet counts, onset of objectively determined <span class=""disease"">thromboembolism</span>, results of <span class=""chemical"">heparin</span>-induced platelet factor 4 antibody tests, and outcomes.",yes_direct,yes_indirect,no_relation,,,,
770955431,"<span class=""chemical"">L-dihydroxyphenylalanine</span>","<span class=""disease"">neurotoxicity</span>","Here we show that the recently reported ability of <span class=""chemical"">L-dihydroxyphenylalanine</span> to reverse the protective effect of alpha-methyl-para-tyrosine on METH-induced DA <span class=""disease"">neurotoxicity</span> is also confounded by drug effects on body temperature.",yes_direct,yes_indirect,no_relation,,,,
770955432,"<span class=""chemical"">azithromycin</span>","<span class=""disease"">hiccups</span>","Possible <span class=""chemical"">azithromycin</span>-associated <span class=""disease"">hiccups</span>.",yes_direct,yes_indirect,no_relation,,,,
770955433,"<span class=""chemical"">MPTP</span>","<span class=""disease"">Parkinson's disease</span>","Compound 1 is a potent A(2A)/A(1) receptor antagonist in vitro (A(2A) K(i) = 4.1 nM; A(1) K(i) = 17.0 nM) that has excellent activity, after oral administration, across a number of animal models of <span class=""disease"">Parkinson's disease</span> including mouse and rat models of haloperidol-induced catalepsy, mouse model of reserpine-induced akinesia, rat 6-hydroxydopamine (6-OHDA) lesion model of drug-induced rotation, and <span class=""chemical"">MPTP</span>-treated non-human primate model.",yes_direct,yes_indirect,no_relation,,,,
770955434,"<span class=""chemical"">bupropion</span>","<span class=""disease"">sleep deprivation</span>","This case report describes a generalized seizure associated with sustained-release <span class=""chemical"">bupropion</span> use and <span class=""disease"">sleep deprivation</span>.",yes_direct,yes_indirect,no_relation,,,,
770955435,"<span class=""chemical"">epipodophyllotoxin</span>","<span class=""disease"">cardiac toxicity</span>","PURPOSE: The anthracyclines daunorubicin and doxorubicin and the <span class=""chemical"">epipodophyllotoxin</span> etoposide are potent DNA cleavage-enhancing drugs that are widely used in clinical oncology; however, myelosuppression and <span class=""disease"">cardiac toxicity</span> limit their use.",yes_direct,yes_indirect,no_relation,,,,
770955436,"<span class=""chemical"">caffeine</span>","<span class=""disease"">ventricular arrhythmias</span>","Although intravenous <span class=""chemical"">caffeine</span> is generally well tolerated, the clinician should be aware of the potential for unpredictable and serious <span class=""disease"">ventricular arrhythmias</span>.",yes_direct,yes_indirect,no_relation,,,,
770955437,"<span class=""chemical"">metoprolol</span>","<span class=""disease"">heart block</span>","A seventy-eight-year-old woman presented with complete <span class=""disease"">heart block</span> and refractory hypotension two days after a therapeutic dose of sustained-release verapamil with concomitant use of <span class=""chemical"">metoprolol</span>.",yes_direct,yes_indirect,no_relation,,,,
770955438,"<span class=""chemical"">doxorubicin</span>","<span class=""disease"">cardiac failure</span>","One of the patients developed <span class=""disease"">cardiac failure</span> after 30 mg m-2 MMC and only 150 mg m-2 <span class=""chemical"">doxorubicin</span>.",yes_direct,yes_indirect,no_relation,,,,
770955439,"<span class=""chemical"">fenoldopam</span>","<span class=""disease"">tumor</span>","Arteritis induced in rats by vasodilators, <span class=""chemical"">fenoldopam</span> and theophylline, was examined immunohistochemically for expressions of inducible type of nitric oxide synthase (iNOS), basic fibroblast growth factor (bFGF) and <span class=""disease"">tumor</span> growth factor-beta1 (TGF-beta1).",yes_direct,yes_indirect,no_relation,,,,
770955440,"<span class=""chemical"">etoposide</span>","<span class=""disease"">cardiac toxicity</span>","PURPOSE: The anthracyclines daunorubicin and doxorubicin and the epipodophyllotoxin <span class=""chemical"">etoposide</span> are potent DNA cleavage-enhancing drugs that are widely used in clinical oncology; however, myelosuppression and <span class=""disease"">cardiac toxicity</span> limit their use.",yes_direct,yes_indirect,no_relation,,,,
770955441,"<span class=""chemical"">midazolam</span>","<span class=""disease"">hiccups</span>","Corticosteroids (dexamethasone and methylprednisolone), benzodiazepines (<span class=""chemical"">midazolam</span>) and general anaesthesia have been the specific agents mentioned most frequently in the literature as being associated with the development of <span class=""disease"">hiccups</span>.",yes_direct,yes_indirect,no_relation,,,,
770955442,"<span class=""chemical"">methylprednisolone</span>","<span class=""disease"">asystole</span>","We report a case of hypotension, bradycardia, and <span class=""disease"">asystole</span> after intravenous administration of high-dose <span class=""chemical"">methylprednisolone</span> in a 73-year-old patient who underwent electrocardiographic (ECG) monitoring throughout the episode.",yes_direct,yes_indirect,no_relation,,,,
770955443,"<span class=""chemical"">etomidate</span>","<span class=""disease"">myoclonus</span>","Remifentanil pretreatment reduces <span class=""disease"">myoclonus</span> after <span class=""chemical"">etomidate</span>.",yes_direct,yes_indirect,no_relation,,,,
770955444,"<span class=""chemical"">CLZ</span>","<span class=""disease"">headache</span>","Seven out of 12 subjects experienced <span class=""disease"">headache</span> of a short duration accompanying facial flush in one and nausea in one, especially after ingestion of <span class=""chemical"">CLZ</span>.",yes_direct,yes_indirect,no_relation,,,,
770955445,"<span class=""chemical"">ropivacaine</span>","<span class=""disease"">seizures</span>","The cumulative doses of levobupivacaine and <span class=""chemical"">ropivacaine</span> that produced <span class=""disease"">seizures</span> were similar and were larger than those of bupivacaine.",yes_direct,yes_indirect,no_relation,,,,
770955446,"<span class=""chemical"">testosterone</span>","<span class=""disease"">hyperprolactinemia</span>","Serum <span class=""chemical"">testosterone</span> concentration increased with pubertal status but was not affected by <span class=""disease"">hyperprolactinemia</span>.",yes_direct,yes_indirect,no_relation,,,,
770955447,"<span class=""chemical"">choline</span>","<span class=""disease"">AD/Alzheimer's disease</span>","The <span class=""chemical"">choline</span> acetyltransferase (ChAT) activator, which enhances cholinergic transmission via an augmentation of the enzymatic production of acetylcholine (ACh), is an important factor in the treatment of <span class=""disease"">Alzheimer's disease</span> (<span class=""disease"">AD</span>).",yes_direct,yes_indirect,no_relation,,,,
770955448,"<span class=""chemical"">oestrogen</span>","<span class=""disease"">gallbladder disease</span>","Long-term <span class=""chemical"">oestrogen</span>-only HT significantly increased the risk of venous thrombo-embolism, stroke and <span class=""disease"">gallbladder disease</span> (after one to two years, three years and seven years' use respectively), but did not significantly increase the risk of breast cancer.",yes_direct,yes_indirect,no_relation,,,,
770955449,"<span class=""chemical"">chloroquine</span>","<span class=""disease"">deterioration of vision</span>","A 27-year old African woman with history of regular <span class=""chemical"">chloroquine</span> ingestion presented with progressive <span class=""disease"">deterioration of vision</span>, easy fatiguability, dyspnoea, dizziness progressing to syncopal attacks.",yes_direct,yes_indirect,no_relation,,,,
770955450,"<span class=""chemical"">tamoxifen</span>","<span class=""disease"">breast cancer</span>","INTERPRETATION: Although this preliminary analysis has low power, in this cohort of women at low-to-normal risk of <span class=""disease"">breast cancer</span>, the postulated protective effects of <span class=""chemical"">tamoxifen</span> are not yet apparent.",yes_direct,yes_indirect,no_relation,,,,
770955451,"<span class=""chemical"">potassium</span>","<span class=""disease"">hypokalemia</span>","In conclusion we found that thiazide diuretics cause <span class=""disease"">hypokalemia</span> and depletion of body <span class=""chemical"">potassium</span>.",yes_direct,yes_indirect,no_relation,,,,
770955452,"<span class=""chemical"">eserine</span>","<span class=""disease"">mydriasis</span>","The effect of calcium chloride injected into the cerebral ventricles of group-housed unanaesthetized cats upon vocalization (rage, hissing and snarling), fighting (attack with paws and claws, defense with paws and claws and biting), <span class=""disease"">mydriasis</span>, tremor and clonic-tonic convulsions produced by carbachol and <span class=""chemical"">eserine</span> injected similarly was investigated.",yes_direct,yes_indirect,no_relation,,,,
770955453,"<span class=""chemical"">rifampin</span>","<span class=""disease"">tuberculosis</span>","Light chain proteinuria and cellular mediated immunity in <span class=""chemical"">rifampin</span> treated patients with <span class=""disease"">tuberculosis</span>.",yes_direct,yes_indirect,no_relation,,,,
770955454,"<span class=""chemical"">glycopyrronium</span>","<span class=""disease"">bradycardias</span>","Use of <span class=""chemical"">glycopyrronium</span> 5 micrograms kg-1 provided greater cardiovascular stability and, given 1 min before the edrophonium, was sufficient to minimize early, edrophonium-induced <span class=""disease"">bradycardias</span>.",yes_direct,yes_indirect,no_relation,,,,
770955455,"<span class=""chemical"">clonazepam</span>","<span class=""disease"">myoclonic jerks</span>","Of the benzodiazepines, <span class=""chemical"">clonazepam</span> (0.1-0.3 mg/kg) was found to be several fold more potent than diazepam (0.3-3 mg/kg) in blocking the <span class=""disease"">myoclonic jerks</span>.",yes_direct,yes_indirect,no_relation,,,,
770955456,"<span class=""chemical"">doxorubicin</span>","<span class=""disease"">cardiomyopathy</span>","Dose-effect and structure-function relationships in <span class=""chemical"">doxorubicin</span> <span class=""disease"">cardiomyopathy</span>.",yes_direct,yes_indirect,no_relation,,,,
770955457,"<span class=""chemical"">clozapine</span>","<span class=""disease"">tic-like symptoms</span>","However, there are two case reports that show <span class=""disease"">tic-like symptoms</span>, including motor and phonic variants, occurring during treatment with quetiapine or <span class=""chemical"">clozapine</span>.",yes_direct,yes_indirect,no_relation,,,,
